Gap	Count
2.0	18521951
0.0	25405852
3.0	16216888
4.0	16314626
5.0	16634034
6.0	16946065
7.0	16311632
8.0	17182078
9.0	17568678
10.0	15977130
11.0	15284306
12.0	15404037
13.0	15655678
14.0	16450549
15.0	15624098
16.0	15800931
17.0	16400616
18.0	16930938
19.0	15469670
20.0	14706810
21.0	14745440
22.0	14459911
23.0	14214942
24.0	13898861
25.0	13608337
26.0	14102674
27.0	14243100
28.0	15749263
29.0	14611206
30.0	14100454
31.0	13587086
33.0	14025377
32.0	14069867
34.0	13534296
35.0	13823375
37.0	13642713
36.0	13924034
38.0	13504128
39.0	13452896
40.0	14120339
41.0	14225621
42.0	14580762
43.0	14106495
45.0	13444912
44.0	14063770
47.0	13350368
46.0	13345144
48.0	13696105
49.0	13837820
50.0	13626787
51.0	13032703
52.0	13360754
53.0	13921153
54.0	14409107
55.0	13888452
56.0	14670166
57.0	14240589
59.0	13671275
58.0	13644240
60.0	13634472
61.0	13263438
63.0	12670603
62.0	12672146
65.0	13235792
66.0	13097529
67.0	12977032
64.0	13354591
68.0	13059537
69.0	12875229
70.0	13154712
71.0	13796418
74.0	13025669
75.0	12457227
72.0	13612290
73.0	13420039
76.0	12324368
77.0	12246985
78.0	12561278
79.0	12857083
81.0	13923788
82.0	13295249
83.0	12910746
80.0	13593460
84.0	12549673
85.0	12726317
86.0	12565245
87.0	12706106
88.0	12552763
89.0	12403381
91.0	12289808
90.0	12358261
92.0	12355595
94.0	12313195
95.0	12046670
93.0	12209045
96.0	11999674
97.0	12284984
99.0	13146882
98.0	12341624
103.0	12150403
101.0	13157080
102.0	12698471
100.0	13422867
104.0	11926664
105.0	11796316
106.0	12115371
107.0	12433998
108.0	12380453
109.0	12154693
110.0	11871282
111.0	12022375
112.0	12296812
113.0	13375722
114.0	12845785
115.0	12378117
117.0	11651845
118.0	11532278
116.0	11831865
119.0	11587074
120.0	11758475
121.0	12061635
122.0	11863014
123.0	11432190
124.0	11298197
125.0	11338629
126.0	11253007
127.0	11719608
128.0	12155547
129.0	12169734
132.0	11489367
135.0	11113875
130.0	11947850
131.0	11748857
133.0	11226835
134.0	11096744
136.0	11028919
137.0	11140258
138.0	11163324
139.0	11242295
140.0	11416902
141.0	11898320
142.0	11665911
143.0	11365642
144.0	11300860
145.0	11232797
146.0	11466559
147.0	11752028
149.0	11119412
150.0	11081786
148.0	11452395
151.0	11039649
153.0	11132867
154.0	11320622
155.0	11435975
156.0	11668506
157.0	11490113
158.0	11390605
159.0	11255029
152.0	11054930
160.0	11629274
161.0	12454903
162.0	12645023
163.0	12130049
164.0	11418832
165.0	11120200
167.0	10932559
166.0	10997287
168.0	11062618
169.0	11184295
171.0	11330045
172.0	11245605
173.0	10992022
174.0	11030297
170.0	11481505
175.0	11093007
179.0	10741503
180.0	10871733
181.0	10911001
182.0	11141846
183.0	10958645
178.0	10747410
176.0	10906121
177.0	10689909
184.0	10985225
189.0	10497454
185.0	10923931
186.0	10865247
187.0	10684874
190.0	10405690
188.0	10619007
191.0	10509781
194.0	10415766
195.0	10295955
196.0	10359929
197.0	10274876
198.0	10513952
199.0	10548443
192.0	10402270
193.0	10263017
200.0	10909050
201.0	10819867
202.0	10678212
203.0	10476506
204.0	10332500
205.0	10126186
207.0	10091634
206.0	10105690
208.0	10113858
211.0	10316362
212.0	10459798
213.0	10486974
214.0	10571011
215.0	10561928
209.0	10110792
210.0	10275370
216.0	10543276
217.0	10243241
218.0	10135337
219.0	10042799
220.0	10141071
221.0	10181281
222.0	10325399
223.0	10103203
225.0	10015086
226.0	10214899
227.0	10298831
229.0	10379086
230.0	10199776
231.0	9972508
228.0	10436398
224.0	10044454
233.0	9844632
234.0	9951126
235.0	9997373
236.0	9881920
237.0	9722356
232.0	9946283
238.0	9712007
239.0	9779579
244.0	10304133
246.0	9730089
247.0	9538683
245.0	9925041
240.0	9911229
242.0	10574142
243.0	10552766
241.0	10341094
251.0	9602969
248.0	9558185
249.0	9507222
255.0	9732884
253.0	9481665
254.0	9572723
252.0	9522714
250.0	9627326
257.0	9660906
263.0	9674145
262.0	9599852
260.0	9596759
261.0	9593570
269.0	9486535
268.0	9233132
258.0	9569416
259.0	9572922
270.0	9522315
271.0	9480400
256.0	9683753
264.0	9596208
267.0	9194112
266.0	9255059
265.0	9396076
285.0	9246401
274.0	9243469
287.0	8995857
273.0	9365418
275.0	9226581
284.0	9354176
272.0	9475215
279.0	9133146
278.0	9168764
277.0	9198720
276.0	9282632
280.0	9023203
281.0	9083819
282.0	9239035
283.0	9502693
286.0	9080480
289.0	8909318
288.0	8944545
291.0	8883835
292.0	8917549
294.0	8861039
293.0	8911064
290.0	8843225
298.0	8828736
299.0	8907784
297.0	8797456
296.0	8747907
303.0	8794507
302.0	8904036
300.0	8981511
301.0	8995473
295.0	8817816
305.0	8599945
306.0	8551054
309.0	8669191
310.0	8661552
307.0	8637542
308.0	8622143
318.0	8595439
316.0	8795365
317.0	8701498
312.0	8695910
315.0	8816016
314.0	8820844
313.0	8795303
319.0	8554658
311.0	8687096
304.0	8660472
322.0	8771868
327.0	8709535
323.0	8988203
334.0	8369184
333.0	8494126
332.0	8523845
324.0	9050998
326.0	8769679
325.0	8890671
320.0	8534648
331.0	8561165
330.0	8608285
328.0	8656455
329.0	8660728
335.0	8405048
321.0	8579321
338.0	8453755
347.0	8205913
346.0	8316797
345.0	8524196
343.0	8559747
336.0	8454263
337.0	8483704
339.0	8380280
340.0	8364204
341.0	8428932
342.0	8528279
351.0	8050099
344.0	8632762
349.0	8106278
350.0	8064781
348.0	8134447
355.0	8080679
361.0	7990113
354.0	8062585
352.0	8058565
353.0	8063869
359.0	8032234
358.0	8105856
357.0	8138082
356.0	8115053
363.0	7944387
362.0	7971473
364.0	7931790
365.0	7905124
366.0	7863304
360.0	7988930
1.0	26352103
