Gap	Count	Annotation							
0	30010	NA	FALSE				Total Peak	"770,671,918 "	
0.025	205476	NA	TRUE				Q1FALSE_peaks	"149,077,323 "	0.193438115
0.05	145343	NA	TRUE				Anno	"16,322,411 "	
0.075	137355	NA	TRUE				Q3FALSE_peaks	"290,925,967 "	0.37749652
0.1	85004	NA	TRUE						
0.125	67555	NA	TRUE						
0.15	67849	NA	TRUE						
0.175	73219	NA	TRUE						
0.2	74766	NA	TRUE						
0.225	47526	NA	FALSE						
0.25	191981	NA	TRUE						
0.275	51429	NA	FALSE						
0.3	60663	NA	TRUE						
0.325	545202	NA	TRUE						
0.35	169296	NA	TRUE						
0.375	53728	NA	FALSE						
0.4	75804	NA	TRUE						
0.425	68479	NA	TRUE						
0.45	79771	NA	TRUE						
0.475	144888	NA	TRUE						
0.5	1342062	NA	TRUE						
0.525	149944	NA	TRUE						
0.55	76121	NA	TRUE						
0.575	64114	NA	TRUE						
0.6	67956	NA	TRUE						
0.625	54332	NA	FALSE						
0.65	134966	NA	TRUE						
0.675	397221	NA	TRUE						
0.7	63391	NA	TRUE						
0.725	49222	NA	FALSE						
0.75	120536	NA	TRUE						
0.775	44434	NA	FALSE						
0.8	52538	NA	FALSE						
0.825	58696	NA	TRUE						
0.85	56379	NA	FALSE						
0.875	55664	NA	FALSE						
0.9	76026	NA	TRUE						
0.925	107277	NA	TRUE						
0.95	203882	NA	TRUE						
0.975	373947	NA	TRUE						
1	1998390	NA	TRUE						
1.025	334946	NA	TRUE						
1.05	155220	NA	TRUE						
1.075	101585	NA	TRUE						
1.1	68940	NA	TRUE						
1.125	50645	NA	FALSE						
1.15	52759	NA	FALSE						
1.175	49983	NA	FALSE						
1.2	42692	NA	FALSE						
1.225	39651	NA	FALSE						
1.25	78860	NA	TRUE						
1.275	45057	NA	FALSE						
1.3	56781	NA	FALSE						
1.325	174005	NA	TRUE						
1.35	124644	NA	TRUE						
1.375	50017	NA	FALSE						
1.4	46656	NA	FALSE						
1.425	52174	NA	FALSE						
1.45	75501	NA	TRUE						
1.475	133764	NA	TRUE						
1.5	441376	NA	TRUE						
1.525	143996	NA	TRUE						
1.55	72094	NA	TRUE						
1.575	51304	NA	FALSE						
1.6	43741	NA	FALSE						
1.625	44652	NA	FALSE						
1.65	92756	NA	TRUE						
1.675	144808	NA	TRUE						
1.7	56418	NA	FALSE						
1.725	39101	NA	FALSE						
1.75	60985	NA	TRUE						
1.775	33233	NA	FALSE						
1.8	31948	NA	FALSE						
1.825	39407	NA	FALSE						
1.85	39928	NA	FALSE						
1.875	36510	NA	FALSE						
1.9	56003	NA	FALSE						
1.925	79802	NA	TRUE						
1.95	196291	NA	TRUE						
1.975	342244	NA	TRUE						
2	703625	NA	TRUE						
2.025	379608	NA	TRUE						
2.05	184613	NA	TRUE						
2.075	85778	NA	TRUE						
2.1	47687	NA	FALSE						
2.125	31970	NA	FALSE						
2.15	34218	NA	FALSE						
2.175	36167	NA	FALSE						
2.2	29706	NA	FALSE						
2.225	27859	NA	FALSE						
2.25	55183	NA	FALSE						
2.275	33575	NA	FALSE						
2.3	45492	NA	FALSE						
2.325	104648	NA	TRUE						
2.35	82793	NA	TRUE						
2.375	40380	NA	FALSE						
2.4	35876	NA	FALSE						
2.425	41121	NA	FALSE						
2.45	62307	NA	TRUE						
2.475	114462	NA	TRUE						
2.5	215136	NA	TRUE						
2.525	119086	NA	TRUE						
2.55	64570	NA	TRUE						
2.575	41965	NA	FALSE						
2.6	35317	NA	FALSE						
2.625	36811	NA	FALSE						
2.65	75954	NA	TRUE						
2.675	104106	NA	TRUE						
2.7	46347	NA	FALSE						
2.725	31731	NA	FALSE						
2.75	55907	NA	FALSE						
2.775	24998	NA	FALSE						
2.8	28659	NA	FALSE						
2.825	34387	NA	FALSE						
2.85	31507	NA	FALSE						
2.875	27806	NA	FALSE						
2.9	42088	NA	FALSE						
2.925	70473	NA	TRUE						
2.95	137225	NA	TRUE						
2.975	269151	NA	TRUE						
3	469628	NA	TRUE						
3.025	273212	NA	TRUE						
3.05	146740	NA	TRUE						
3.075	72827	NA	TRUE						
3.1	39434	NA	FALSE						
3.125	39747	NA	FALSE						
3.15	30257	NA	FALSE						
3.175	33736	NA	FALSE						
3.2	28773	NA	FALSE						
3.225	23382	NA	FALSE						
3.25	59553	NA	TRUE						
3.275	31163	NA	FALSE						
3.3	42586	NA	FALSE						
3.325	102237	NA	TRUE						
3.35	73150	NA	TRUE						
3.375	34281	NA	FALSE						
3.4	36903	NA	FALSE						
3.425	36513	NA	FALSE						
3.45	59796	NA	TRUE						
3.475	101152	NA	TRUE						
3.5	194452	NA	TRUE						
3.525	116748	NA	TRUE						
3.55	61998	NA	TRUE						
3.575	38669	NA	FALSE						
3.6	37951	NA	FALSE						
3.625	33410	NA	FALSE						
3.65	72835	NA	TRUE						
3.675	105000	NA	TRUE						
3.7	40546	NA	FALSE						
3.725	29079	NA	FALSE						
3.75	69888	NA	TRUE						
3.775	25369	NA	FALSE						
3.8	28642	NA	FALSE						
3.825	29145	NA	FALSE						
3.85	28714	NA	FALSE						
3.875	26096	NA	FALSE						
3.9	40128	NA	FALSE						
3.925	73001	NA	TRUE						
3.95	154379	NA	TRUE						
3.975	241959	NA	TRUE						
4	510032	NA	TRUE						
4.025	270026	NA	TRUE						
4.05	132842	NA	TRUE						
4.075	83675	NA	TRUE						
4.1	42487	NA	FALSE						
4.125	26062	NA	FALSE						
4.15	28010	NA	FALSE						
4.175	30508	NA	FALSE						
4.2	25031	NA	FALSE						
4.225	22559	NA	FALSE						
4.25	84575	NA	TRUE						
4.275	31035	NA	FALSE						
4.3	38705	NA	FALSE						
4.325	107848	NA	TRUE						
4.35	87496	NA	TRUE						
4.375	34804	NA	FALSE						
4.4	32615	NA	FALSE						
4.425	36364	NA	FALSE						
4.45	57608	NA	TRUE						
4.475	100994	NA	TRUE						
4.5	226955	NA	TRUE						
4.525	110736	NA	TRUE						
4.55	61551	NA	TRUE						
4.575	38807	NA	FALSE						
4.6	32580	NA	FALSE						
4.625	32326	NA	FALSE						
4.65	67527	NA	TRUE						
4.675	140784	NA	TRUE						
4.7	42737	NA	FALSE						
4.725	29723	NA	FALSE						
4.75	78048	NA	TRUE						
4.775	26174	NA	FALSE						
4.8	24240	NA	FALSE						
4.825	27900	NA	FALSE						
4.85	28358	NA	FALSE						
4.875	32433	NA	FALSE						
4.9	55063	NA	FALSE						
4.925	63834	NA	TRUE						
4.95	131914	NA	TRUE						
4.975	210898	NA	TRUE						
5	507718	NA	TRUE						
5.025	259868	NA	TRUE						
5.05	123598	NA	TRUE						
5.075	81574	NA	TRUE						
5.1	42255	NA	FALSE						
5.125	31988	NA	FALSE						
5.15	29224	NA	FALSE						
5.175	32003	NA	FALSE						
5.2	25237	NA	FALSE						
5.225	23095	NA	FALSE						
5.25	60234	NA	TRUE						
5.275	32867	NA	FALSE						
5.3	35062	NA	FALSE						
5.325	133063	NA	TRUE						
5.35	137562	NA	TRUE						
5.375	33936	NA	FALSE						
5.4	32962	NA	FALSE						
5.425	36574	NA	FALSE						
5.45	54429	NA	FALSE						
5.475	105144	NA	TRUE						
5.5	210238	NA	TRUE						
5.525	113393	NA	TRUE						
5.55	60534	NA	TRUE						
5.575	38511	NA	FALSE						
5.6	34691	NA	FALSE						
5.625	28952	NA	FALSE						
5.65	65793	NA	TRUE						
5.675	231779	NA	TRUE						
5.7	45011	NA	FALSE						
5.725	28784	NA	FALSE						
5.75	52706	NA	FALSE						
5.775	26232	NA	FALSE						
5.8	23991	NA	FALSE						
5.825	32809	NA	FALSE						
5.85	30584	NA	FALSE						
5.875	29618	NA	FALSE						
5.9	36303	NA	FALSE						
5.925	68854	NA	TRUE						
5.95	127958	NA	TRUE						
5.975	230587	NA	TRUE						
6	602317	NA	TRUE						
6.025	266843	NA	TRUE						
6.05	150912	NA	TRUE						
6.075	74473	NA	TRUE						
6.1	42040	NA	FALSE						
6.125	26482	NA	FALSE						
6.15	29847	NA	FALSE						
6.175	30668	NA	FALSE						
6.2	24796	NA	FALSE						
6.225	22513	NA	FALSE						
6.25	53138	NA	FALSE						
6.275	30165	NA	FALSE						
6.3	35445	NA	FALSE						
6.325	131650	NA	TRUE						
6.35	157312	NA	TRUE						
6.375	35233	NA	FALSE						
6.4	31116	NA	FALSE						
6.425	36576	NA	FALSE						
6.45	50792	NA	FALSE						
6.475	96010	NA	TRUE						
6.5	228893	NA	TRUE						
6.525	123007	NA	TRUE						
6.55	60250	NA	TRUE						
6.575	38527	NA	FALSE						
6.6	32912	NA	FALSE						
6.625	29551	NA	FALSE						
6.65	64522	NA	TRUE						
6.675	174140	NA	TRUE						
6.7	45178	NA	FALSE						
6.725	28087	NA	FALSE						
6.75	57473	NA	FALSE						
6.775	23940	NA	FALSE						
6.8	23070	NA	FALSE						
6.825	30469	NA	FALSE						
6.85	31953	NA	FALSE						
6.875	29183	NA	FALSE						
6.9	35479	NA	FALSE						
6.925	71903	NA	TRUE						
6.95	112055	NA	TRUE						
6.975	256240	NA	TRUE						
7	505863	NA	TRUE						
7.025	244553	NA	TRUE						
7.05	174741	NA	TRUE						
7.075	76375	NA	TRUE						
7.1	48711	NA	FALSE						
7.125	31501	NA	FALSE						
7.15	27072	NA	FALSE						
7.175	32559	NA	FALSE						
7.2	24308	NA	FALSE						
7.225	21271	NA	FALSE						
7.25	54312	NA	FALSE						
7.275	29132	NA	FALSE						
7.3	35909	NA	FALSE						
7.325	88547	NA	TRUE						
7.35	91854	NA	TRUE						
7.375	38134	NA	FALSE						
7.4	28736	NA	FALSE						
7.425	34102	NA	FALSE						
7.45	48295	NA	FALSE						
7.475	94077	NA	TRUE						
7.5	281599	NA	TRUE						
