Gap	Count	Annotation
0	30010	NA
0.025	205476	NA
0.05	145343	NA
0.075	137355	NA
0.1	85004	NA
0.125	67555	NA
0.15	67849	NA
0.175	73219	NA
0.2	74766	NA
0.225	47526	NA
0.25	191981	NA
0.275	51429	NA
0.3	60663	NA
0.325	545202	NA
0.35	169296	NA
0.375	53728	NA
0.4	75804	NA
0.425	68479	NA
0.45	79771	NA
0.475	144888	NA
0.5	1342062	NA
0.525	149944	NA
0.55	76121	NA
0.575	64114	NA
0.6	67956	NA
0.625	54332	NA
0.65	134966	NA
0.675	397221	NA
0.7	63391	NA
0.725	49222	NA
0.75	120536	NA
0.775	44434	NA
0.8	52538	NA
0.825	58696	NA
0.85	56379	NA
0.875	55664	NA
0.9	76026	NA
0.925	107277	NA
0.95	203882	NA
0.975	373947	NA
1	1998390	NA
1.025	334946	NA
1.05	155220	NA
1.075	101585	NA
1.1	68940	NA
1.125	50645	NA
1.15	52759	NA
1.175	49983	NA
1.2	42692	NA
1.225	39651	NA
1.25	78860	NA
1.275	45057	NA
1.3	56781	NA
1.325	174005	NA
1.35	124644	NA
1.375	50017	NA
1.4	46656	NA
1.425	52174	NA
1.45	75501	NA
1.475	133764	NA
1.5	441376	NA
1.525	143996	NA
1.55	72094	NA
1.575	51304	NA
1.6	43741	NA
1.625	44652	NA
1.65	92756	NA
1.675	144808	NA
1.7	56418	NA
1.725	39101	NA
1.75	60985	NA
1.775	33233	NA
1.8	31948	NA
1.825	39407	NA
1.85	39928	NA
1.875	36510	NA
1.9	56003	NA
1.925	79802	NA
1.95	196291	NA
1.975	342244	NA
2	703625	NA
2.025	379608	NA
2.05	184613	NA
2.075	85778	NA
2.1	47687	NA
2.125	31970	NA
2.15	34218	NA
2.175	36167	NA
2.2	29706	NA
2.225	27859	NA
2.25	55183	NA
2.275	33575	NA
2.3	45492	NA
2.325	104648	NA
2.35	82793	NA
2.375	40380	NA
2.4	35876	NA
2.425	41121	NA
2.45	62307	NA
2.475	114462	NA
2.5	215136	NA
2.525	119086	NA
2.55	64570	NA
2.575	41965	NA
2.6	35317	NA
2.625	36811	NA
2.65	75954	NA
2.675	104106	NA
2.7	46347	NA
2.725	31731	NA
2.75	55907	NA
2.775	24998	NA
2.8	28659	NA
2.825	34387	NA
2.85	31507	NA
2.875	27806	NA
2.9	42088	NA
2.925	70473	NA
2.95	137225	NA
2.975	269151	NA
3	469628	NA
3.025	273212	NA
3.05	146740	NA
3.075	72827	NA
3.1	39434	NA
3.125	39747	NA
3.15	30257	NA
3.175	33736	NA
3.2	28773	NA
3.225	23382	NA
3.25	59553	NA
3.275	31163	NA
3.3	42586	NA
3.325	102237	NA
3.35	73150	NA
3.375	34281	NA
3.4	36903	NA
3.425	36513	NA
3.45	59796	NA
3.475	101152	NA
3.5	194452	NA
3.525	116748	NA
3.55	61998	NA
3.575	38669	NA
3.6	37951	NA
3.625	33410	NA
3.65	72835	NA
3.675	105000	NA
3.7	40546	NA
3.725	29079	NA
3.75	69888	NA
3.775	25369	NA
3.8	28642	NA
3.825	29145	NA
3.85	28714	NA
3.875	26096	NA
3.9	40128	NA
3.925	73001	NA
3.95	154379	NA
3.975	241959	NA
4	510032	NA
4.025	270026	NA
4.05	132842	NA
4.075	83675	NA
4.1	42487	NA
4.125	26062	NA
4.15	28010	NA
4.175	30508	NA
4.2	25031	NA
4.225	22559	NA
4.25	84575	NA
4.275	31035	NA
4.3	38705	NA
4.325	107848	NA
