Gap	Count
0.0	53102
364.025	21851
356.025	22361
332.025	22445
324.025	24622
348.025	21804
340.025	21036
300.025	30002
292.025	32914
308.025	26289
316.025	24903
260.025	45519
268.025	41586
284.025	33649
276.025	36934
8.125	48744
8.375	62076
8.875	47852
8.625	53806
9.375	56876
9.125	51614
9.875	45887
9.625	52146
10.375	55261
10.125	47177
10.875	45467
10.625	49839
11.125	45382
11.375	56791
11.875	59621
11.625	49576
12.375	57173
12.125	44928
12.875	45798
12.625	49026
13.125	50434
13.375	55333
13.875	45637
13.625	49097
14.375	59898
14.125	46271
14.875	45852
14.625	48181
15.125	47973
15.375	62277
15.625	48897
15.875	47325
16.25	76838
16.75	73607
17.75	77580
17.25	70226
18.25	67427
18.75	67018
19.75	60782
19.25	57704
20.25	60076
20.75	62541
21.25	58165
21.75	61024
22.75	56139
22.25	56454
23.25	50899
23.75	54883
24.25	53351
24.75	56937
25.25	53917
25.75	52955
26.75	51970
26.25	51179
27.75	53580
27.25	49472
28.75	60872
28.25	55281
29.75	54479
29.25	54883
30.25	44973
30.75	47300
31.25	43334
31.75	47738
33.5	245940
32.5	331126
35.5	208091
34.5	224063
37.5	204776
36.5	210004
39.5	195269
38.5	190985
41.5	194050
40.5	205191
43.5	195161
42.5	196463
44.5	185988
45.5	187413
47.5	166543
46.5	180721
48.5	174365
49.5	171504
50.5	185881
51.5	170407
53.5	167433
52.5	170587
55.5	148767
54.5	160112
56.5	149412
57.5	163430
58.5	167145
59.5	147884
61.5	139767
60.5	138916
63.5	133072
62.5	134184
67.0	325761
65.0	376769
71.0	342516
69.0	265270
75.0	277004
73.0	274143
77.0	272811
79.0	289760
83.0	292472
81.0	233857
87.0	266739
85.0	217829
89.0	241764
91.0	253891
95.0	220051
93.0	209499
97.0	187788
99.0	223941
103.0	224029
101.0	231661
107.0	191243
105.0	188712
109.0	161432
111.0	178369
113.0	184181
115.0	189136
119.0	181069
117.0	158527
123.0	156918
121.0	137775
125.0	155359
127.0	151536
134.0	129840
130.0	155632
138.0	137692
142.0	129490
146.0	115613
150.0	112556
158.0	104685
154.0	110594
166.0	95219
162.0	102414
174.0	88608
170.0	91893
178.0	83126
182.0	73376
186.0	76845
190.0	77372
198.0	61340
194.0	69819
206.0	59671
202.0	60141
210.0	53490
214.0	49370
218.0	46044
222.0	47684
230.0	39381
226.0	42684
234.0	37696
238.0	36767
246.0	32768
242.0	35918
254.0	31033
250.0	32333
260.0	30806
268.0	28585
276.0	28693
284.0	26818
292.0	27679
300.0	26618
316.0	25852
308.0	25940
332.0	26621
324.0	25940
340.0	26504
348.0	25224
356.0	26083
364.0	24635
238.025	65323
234.025	70253
226.025	73218
230.025	75325
254.025	51077
250.025	54099
246.025	60690
242.025	62895
206.025	106122
202.025	102330
194.025	110474
