Gap	Count
0	389826429
0.1	9980661
0.2	6485106
0.3	2739932
0.4	6649083
0.5	3978736
0.6	7436912
0.7	6291483
0.8	7365480
0.9	9100387
1	49462215
1.1	9964683
1.2	6383626
1.3	6392381
1.4	6916549
1.5	6315955
1.6	6818822
1.7	6267245
1.8	6342389
1.9	7490554
2	48674265
2.1	15860746
2.2	6945983
2.3	6106406
2.4	6483230
2.5	5526752
2.6	6334589
2.7	5955102
2.8	6114515
2.9	15656782
3	79444884
3.1	10456351
3.2	6381143
3.3	5652112
3.4	5903260
3.5	6032867
3.6	6615647
3.7	6457057
3.8	6737662
3.9	13321127
4	58391743
4.1	9558149
4.2	6758693
4.3	6359186
4.4	6719345
4.5	7433217
4.6	6841346
4.7	6924113
4.8	7022940
4.9	8019059
5	38273842
5.1	11953289
5.2	6765683
5.3	6506963
5.4	6463062
5.5	5965059
5.6	6498127
5.7	6194021
5.8	6910987
5.9	11990467
6	52979455
6.1	7486953
6.2	6162329
6.3	5640186
6.4	6433978
6.5	6298054
6.6	7257885
6.7	6643025
6.8	6911807
6.9	11475917
7	95414202
7.1	8306876
7.2	7398969
7.3	6678647
7.4	7594626
7.5	6623443
7.6	7948786
7.7	7465157
7.8	7927783
7.9	8746980
8	40104434
8.1	8138319
8.2	6974114
8.3	6544445
8.4	7039934
8.5	5983405
8.6	7162660
8.7	6202706
8.8	7052963
8.9	8379933
9	70710969
9.1	7600905
9.2	5920485
9.3	5473043
9.4	6224942
9.5	5379329
9.6	6425773
9.7	5558455
9.8	5893441
9.9	13813108
10	81147645
10.1	6715448
10.2	6015944
10.3	4955648
10.4	5966455
10.5	5973057
10.6	6714407
10.7	6325988
10.8	6514307
10.9	6989205
11	35019522
11.1	6570506
11.2	6195660
11.3	5467009
11.4	6041584
11.5	5055987
11.6	5843565
11.7	5096734
11.8	9859260
11.9	23569707
12	102579048
12.1	6364748
12.2	5272462
12.3	4701688
12.4	5591568
12.5	5027543
12.6	5672303
12.7	5472050
12.8	5717786
12.9	6396539
13	35555212
13.1	6783508
13.2	5399862
13.3	5188271
13.4	5675774
13.5	6030357
13.6	6258479
13.7	5924695
13.8	6941500
13.9	8449283
14	41173917
14.1	14279531
14.2	6386650
14.3	6103710
14.4	6103061
14.5	5852688
14.6	6205530
14.7	5845860
14.8	6548797
14.9	12342896
15	42114832
15.1	7148252
15.2	5540647
15.3	5367456
15.4	5937747
15.5	6058681
15.6	6378823
15.7	6023198
15.8	6329492
15.9	15123639
16	30076409
16.1	9852424
16.2	5634016
16.3	5373306
16.4	5482287
16.5	5353325
16.6	5711595
16.7	5520663
16.8	7004253
16.9	9224531
17	46817653
17.1	28403097
17.2	5724835
17.3	4725537
17.4	5500488
17.5	5300773
17.6	5781741
17.7	4877970
17.8	5767368
17.9	8457765
18	88781060
18.1	7798329
18.2	5817817
18.3	4705382
18.4	5760961
18.5	5129691
18.6	6020314
18.7	5522906
18.8	8897238
18.9	7323723
19	48289582
19.1	10995011
19.2	5848547
19.3	5449893
19.4	5994754
19.5	5498490
19.6	5871333
19.7	5628447
19.8	6454425
19.9	9303165
20	49229576
20.1	13373161
20.2	5755975
20.3	5389700
20.4	5666405
20.5	10411035
20.6	6830269
20.7	6645428
20.8	33774004
20.9	19901279
21	28942396
21.1	42746476
21.2	6989133
21.3	6626638
21.4	6765526
21.5	7027431
21.6	7072281
21.7	7090966
21.8	9000465
21.9	29732453
22	31497353
22.1	8524885
22.2	6792161
22.3	6923986
22.4	6703578
22.5	7607282
22.6	7231209
22.7	7437594
22.8	10582850
22.9	34385051
23	30321472
23.1	8992932
23.2	6170588
23.3	6231926
23.4	5980861
23.5	6200952
23.6	5695027
23.7	6692498
23.8	21759534
23.9	75423731
24	40161851
24.1	7115534
24.2	5437168
24.3	5462826
24.4	5655190
24.5	6174415
24.6	6640663
24.7	6770222
24.8	7369455
24.9	8332876
25	20137461
25.1	7418868
25.2	6361704
25.3	6143734
25.4	6292570
25.5	5816863
25.6	6186864
25.7	5486089
25.8	6607495
25.9	15675993
26	37919912
26.1	10191000
26.2	5536098
26.3	5122905
26.4	5183858
26.5	5476097
26.6	5679162
26.7	5570193
26.8	10112402
26.9	7798436
27	20146861
27.1	6255126
27.2	4996082
27.3	4847469
27.4	5394842
27.5	5644015
27.6	5573548
27.7	5583099
27.8	9385733
27.9	7555663
28	43252712
28.1	11654231
28.2	5301093
28.3	4851061
28.4	5037900
28.5	4734803
28.6	5047762
28.7	5177311
28.8	6814438
28.9	7413377
29	29659798
29.1	10991175
29.2	4803153
29.3	4653343
29.4	4818927
29.5	4359911
29.6	4805940
29.7	4971478
29.8	5886405
29.9	8662622
30	63143293
30.1	8333361
30.2	5137260
30.3	4315079
30.4	5143823
30.5	4898281
30.6	5130009
30.7	5056505
30.8	13261475
30.9	6444699
31	28666759
31.1	24196943
31.2	5310898
31.3	5154360
31.4	5287589
31.5	5350816
31.6	5475897
31.7	5387624
31.8	5459805
31.9	6351351
32	34790930
32.1	15044427
32.2	5699435
32.3	4981531
32.4	5446164
32.5	5663071
32.6	5835019
32.7	5414570
32.8	5318572
32.9	6443346
33	68561890
33.1	15966870
33.2	6054292
33.3	5376776
33.4	5730101
33.5	7906046
33.6	5991584
33.7	5811571
33.8	6219597
33.9	7272961
34	43580024
34.1	11616470
34.2	6018361
34.3	5269724
34.4	5848388
34.5	5937793
34.6	6841884
34.7	6001407
34.8	6320554
34.9	7192160
35	34410425
35.1	9361246
35.2	6308049
35.3	5833543
35.4	6211779
35.5	6109894
35.6	6310847
35.7	5650232
35.8	6026151
35.9	13298104
36	54060892
36.1	7658453
36.2	5744546
36.3	4922633
36.4	5313070
36.5	5078864
36.6	6360035
36.7	5388584
36.8	5601939
36.9	6766204
37	57504390
37.1	11534547
37.2	5458464
37.3	4830601
37.4	5224480
37.5	4545191
37.6	5418800
37.7	4758739
37.8	4921777
37.9	5878677
38	32241907
38.1	9593855
38.2	4588144
38.3	4264665
38.4	4449123
38.5	4176752
38.6	4674039
38.7	4204889
38.8	4463800
38.9	5406590
39	56814009
39.1	6227646
39.2	4065435
39.3	3849059
39.4	4544705
39.5	4025009
39.6	4838186
39.7	4304043
39.8	4807193
39.9	5018019
40	47259628
40.1	11781647
40.2	11059612
40.3	4602447
40.4	4815958
40.5	4707159
40.6	5174133
40.7	4876698
40.8	4996736
40.9	5570392
41	44012196
41.1	8458278
41.2	4990336
41.3	4374450
41.4	4659037
41.5	4769111
41.6	4831159
41.7	3928114
41.8	4707820
41.9	5559528
42	102081510
42.1	12777242
42.2	6745580
42.3	4187990
42.4	4636266
42.5	4952666
42.6	5096551
42.7	4803585
42.8	4892646
42.9	8359504
43	40219190
43.1	22166729
43.2	5330606
43.3	4894996
43.4	5033444
43.5	5002921
43.6	5145614
43.7	5142897
43.8	5051011
43.9	8811465
44	51559824
44.1	18013695
44.2	5659599
44.3	4916973
44.4	5394815
44.5	5190124
44.6	5406642
44.7	5504460
44.8	5485283
44.9	9744946
45	36698465
45.1	39059908
45.2	7625188
45.3	5242090
45.4	5518096
45.5	5689480
45.6	5936067
45.7	5617455
45.8	6141954
45.9	7872060
46	77758376
46.1	21934903
46.2	6330917
46.3	5567781
46.4	6010144
46.5	5870205
46.6	6428898
46.7	6365201
46.8	6662956
46.9	8878515
47	33714257
47.1	37599508
47.2	7185113
47.3	5922059
47.4	6181827
47.5	6150616
47.6	6264292
47.7	5768226
47.8	6119695
47.9	7661668
48	63827387
48.1	22685450
48.2	7109677
48.3	5228584
48.4	5305771
48.5	6240338
48.6	5927450
48.7	5991299
48.8	5845161
48.9	7546181
49	23820303
49.1	83997170
49.2	11475111
49.3	6032555
49.4	5732214
49.5	5823596
49.6	5880222
49.7	6084851
49.8	6196919
49.9	7540184
50	38893863
50.1	12499587
50.2	10596958
50.3	5457798
50.4	5853636
50.5	5733891
50.6	6549856
50.7	6135108
50.8	6513028
50.9	7467720
51	28927564
51.1	14601968
51.2	18171349
51.3	5881600
51.4	5788925
51.5	5373410
51.6	5422360
51.7	5096633
51.8	5372424
51.9	6316244
52	57268141
52.1	10204685
52.2	42992216
52.3	4942828
52.4	4973987
52.5	4779798
52.6	6467118
52.7	5938094
52.8	5942156
52.9	6812991
53	26747066
53.1	12132301
53.2	6472916
53.3	5442989
53.4	5551915
53.5	5001804
53.6	5402624
53.7	5822535
53.8	5096000
53.9	5799273
54	59444199
54.1	12765345
54.2	9048852
54.3	4409044
54.4	4467996
54.5	4567616
54.6	5089219
54.7	4751883
54.8	4779282
54.9	5763757
55	29172972
55.1	20399326
55.2	7561915
55.3	4322509
55.4	4106238
55.5	4500384
55.6	4575236
55.7	4643216
55.8	4703897
55.9	5459065
56	44322112
56.1	40862644
56.2	5751051
56.3	4659103
56.4	4569570
56.5	5028967
56.6	4893033
56.7	4965571
56.8	4919590
56.9	6418553
57	56552445
57.1	42003588
57.2	10053391
57.3	4805650
57.4	5028281
57.5	4987038
57.6	5140970
57.7	5114741
57.8	5081611
57.9	7216476
58	48620569
58.1	24702946
58.2	6730731
58.3	4954359
58.4	5230090
58.5	5377705
58.6	6077764
58.7	5526691
58.8	5201902
58.9	7601053
59	54001140
59.1	50281253
59.2	5769245
59.3	5349604
59.4	5256390
59.5	4932478
59.6	5364029
59.7	5270106
59.8	5407422
59.9	7537925
60	96125431
60.1	24445632
60.2	5692373
60.3	4634014
60.4	5028373
60.5	5330929
60.6	6296961
60.7	6145934
60.8	5984928
60.9	7778110
61	37619710
61.1	45211583
61.2	6230628
61.3	5821728
61.4	6011872
61.5	10501059
61.6	7675888
61.7	5959214
61.8	6099809
61.9	7274109
62	45757625
62.1	20705971
62.2	5688660
62.3	5298388
62.4	5491544
62.5	6011177
62.6	6674592
62.7	6676629
62.8	6405411
62.9	7439609
63	31664141
63.1	15208227
63.2	5921699
63.3	5785764
63.4	5834985
63.5	7161326
63.6	6514634
63.7	5905874
63.8	5860052
63.9	7013464
64	34993936
64.1	20175252
64.2	5381096
64.3	4812788
64.4	4813075
64.5	5084800
64.6	5422566
64.7	5181416
64.8	4729149
64.9	6436456
65	23677236
65.1	10927530
65.2	4179285
65.3	3646488
65.4	3976587
65.5	3679190
65.6	3919573
65.7	3493195
65.8	3595696
65.9	4801882
66	36876713
66.1	10892330
66.2	3210460
66.3	2945860
66.4	2937007
66.5	2912227
66.6	3245970
66.7	3064917
66.8	2939320
66.9	3839954
67	18357677
67.1	8873550
67.2	2957759
67.3	3154081
67.4	3089744
67.5	2790456
67.6	3082910
67.7	5549106
67.8	2894190
67.9	3586374
68	33635767
68.1	13140605
68.2	3234220
68.3	2824987
68.4	3150410
68.5	3189669
68.6	3105902
68.7	3293970
68.8	3293067
68.9	3985482
69	21053025
69.1	10400060
69.2	3458626
69.3	3060006
69.4	3435661
69.5	3218376
69.6	3234727
69.7	3510124
69.8	3197838
69.9	4554221
70	33051935
70.1	35424868
70.2	3631769
70.3	3285567
70.4	3081118
70.5	3865060
70.6	3622262
70.7	3484168
70.8	3478442
70.9	5247504
71	33328575
71.1	34377758
71.2	3975464
71.3	3575820
71.4	3603012
71.5	3990675
71.6	3683845
71.7	3811968
71.8	3944888
71.9	5886440
72	47577192
72.1	22189568
72.2	4371759
72.3	3996277
72.4	4105149
72.5	4078798
72.6	4296905
72.7	4765330
72.8	4302642
72.9	6231695
73	27501828
73.1	49258457
73.2	4688053
73.3	4347976
73.4	4264674
73.5	4346305
73.6	4609877
73.7	4571768
73.8	4676174
73.9	5941576
74	40436133
74.1	31344062
74.2	4799088
74.3	4405468
74.4	4514188
74.5	4858376
74.6	5202668
74.7	5252603
74.8	5353997
74.9	6797299
75	61700975
75.1	39325135
75.2	5952964
75.3	5113591
75.4	5409465
75.5	5607610
75.6	5745080
75.7	8133441
75.8	5730668
75.9	7189321
76	43378172
76.1	31846649
76.2	6697335
76.3	5243114
76.4	5647545
76.5	6000973
76.6	6306637
76.7	6115104
76.8	6158870
76.9	8576903
77	45509448
77.1	17877169
77.2	6384485
77.3	5561004
77.4	5484116
77.5	5346532
77.6	5755999
77.7	5496057
77.8	5350423
77.9	8376706
78	98962973
78.1	24596035
78.2	6094419
78.3	4529632
78.4	4673302
78.5	4985926
78.6	5496083
78.7	5592694
78.8	5388985
78.9	7050851
79	44222439
79.1	18011267
79.2	4839183
79.3	4224839
79.4	4512954
79.5	4501376
79.6	4744318
79.7	4646268
79.8	4805138
79.9	6584015
80	43678591
80.1	11369507
80.2	4313999
80.3	3859265
80.4	4195440
80.5	3972505
80.6	4258631
80.7	4155790
80.8	4092072
80.9	5061571
81	33871422
81.1	16453013
81.2	3619964
81.3	3343414
81.4	3492419
81.5	3839497
81.6	4342346
81.7	6702065
81.8	4412064
81.9	5033032
82	27704808
82.1	11957205
82.2	3941266
82.3	3836090
82.4	4102959
82.5	3898714
82.6	3890041
82.7	3732576
82.8	4097209
82.9	5057183
83	34393125
83.1	19185554
83.2	3665638
83.3	3341589
83.4	3424007
83.5	3519297
83.6	3595770
83.7	3561979
83.8	3707529
83.9	4679499
84	25466925
84.1	28933970
84.2	3292690
84.3	2847986
84.4	3174364
84.5	3350106
84.6	3252512
84.7	3397575
84.8	3368802
84.9	4734765
85	16565506
85.1	32124036
85.2	3696055
85.3	3196903
85.4	3198718
85.5	3592351
85.6	3349210
85.7	4377432
85.8	4479659
85.9	5603640
86	46074662
86.1	19585673
86.2	3662929
86.3	3233770
86.4	3545505
86.5	3502306
86.6	3621230
86.7	3801965
86.8	3632170
86.9	5354185
87	31202676
87.1	32249928
87.2	3914147
87.3	3553107
87.4	3669745
87.5	3921121
87.6	3932509
87.7	3796431
87.8	4841731
87.9	6072605
88	27325509
88.1	24976577
88.2	3978322
88.3	3671412
88.4	3751863
88.5	3764703
88.6	4011827
88.7	4142919
