Gap	Count	Annotation
0	15937492	NA
0.1	21353685	NA
0.2	24488556	Isotope cs3
0.3	45377456	Isotope cs3
0.4	19326193	Isotope cs2
0.5	78455710	Isotope cs2
0.6	18609925	Isotope cs2
0.7	36192943	NA
0.8	20584333	NA
0.9	19471119	Isotope
1	132051072	Isotope
1.1	18689162	Isotope
1.2	17470154	NA
1.3	26352903	NA
1.4	16521826	NA
1.5	45407287	NA
1.6	15765209	NA
1.7	22839715	NA
1.8	15508789	NA
1.9	17666090	Isotope
2	81143800	Isotope
2.1	17197709	Isotope
2.2	14471821	NA
2.3	19835526	NA
2.4	14362794	NA
2.5	33637739	NA
2.6	14033360	NA
2.7	19047040	NA
2.8	14362336	NA
2.9	14561182	Isotope
3	64286526	Isotope
3.1	14442784	Isotope
3.2	13688840	NA
3.3	18814555	NA
3.4	13530711	NA
3.5	31180165	NA
3.6	13318325	NA
3.7	18399097	NA
3.8	14369234	NA
3.9	14003254	NA
4	63005235	NA
4.1	13997962	NA
4.2	13325382	NLoss: NH3,CS 4
4.3	20344932	NLoss: NH3,CS 4
4.4	13367964	NLoss: H2O,CS 4
4.5	31673299	NLoss: H2O,CS 4
4.6	12957042	NLoss: H2O,CS 4
4.7	19928511	NA
4.8	14632469	NA
4.9	14359383	NA
5	61075171	NA
5.1	14307338	NA
5.2	13322484	NA
5.3	21883514	NA
5.4	13594045	NA
5.5	30979943	NA
5.6	12804008	NLoss: NH3,CS 3
5.7	22673076	NLoss: NH3,CS 3
5.8	13639023	NA
5.9	13691902	NLoss: H2O,CS 3
6	64728274	NLoss: H2O,CS 3
6.1	13892498	NLoss: H2O,CS 3
6.2	12770632	NA
6.3	22219571	NA
6.4	13073070	NA
6.5	32770148	NA
6.6	12590966	NA
6.7	20462321	NA
6.8	13721859	NA
6.9	13347776	NA
7	62836290	NA
7.1	14467030	NA
7.2	12517033	NA
7.3	18448134	NA
7.4	12847391	NA
7.5	35219673	NA
7.6	12595788	NA
7.7	17651758	NA
7.8	13197828	NA
7.9	13086669	NA
8	64684509	NA
8.1	14289889	NA
8.2	12231546	NA
8.3	18041936	NA
8.4	12933002	NLoss: NH3,CS 2
8.5	40040469	NLoss: NH3,CS 2
8.6	12801901	NLoss: NH3,CS 2
8.7	17981837	NA
8.8	13021582	NA
8.9	12814579	NLoss: H2O,CS 2
9	69359852	NLoss: H2O,CS 2
9.1	14854159	NLoss: H2O,CS 2
9.2	12597126	NA
9.3	17952088	NA
9.4	12408762	NA
9.5	38015396	NA
9.6	12484527	NA
9.7	17241402	NA
9.8	12515245	NA
9.9	12963837	NA
10	64587226	NA
10.1	14690920	NA
10.2	12319112	NA
10.3	17131441	NA
10.4	12283104	NA
10.5	32103326	NA
10.6	12304333	NA
10.7	16474610	NA
10.8	12785096	NA
10.9	12654179	NA
11	58674147	NA
11.1	14323376	NA
11.2	11994109	NA
11.3	16876053	NA
11.4	12297613	NA
11.5	29588104	NA
11.6	12045212	NA
11.7	16546044	NA
11.8	12330840	NA
11.9	13233673	NA
12	62548867	NA
12.1	14228636	NA
12.2	11488858	NA
12.3	16296129	NA
12.4	12180449	NA
12.5	29461563	NA
12.6	11760606	NA
12.7	16416748	NA
12.8	11989949	NA
12.9	12327187	NA
13	59454087	NA
13.1	14748163	NA
13.2	11494981	NA
13.3	17025073	NA
13.4	12063673	NA
13.5	30654294	NA
13.6	11614307	NA
13.7	17041233	NA
13.8	12365872	NA
13.9	12460063	NA
14	66059326	NA
14.1	15726476	NA
14.2	11333760	AA G,CS 4
14.3	18041721	AA G,CS 4
14.4	11779378	NA
14.5	30621823	NA
14.6	11279353	NA
14.7	17513689	NA
14.8	11967358	NA
14.9	12006652	NA
15	62496499	NA
15.1	13684641	NA
15.2	11040490	NA
15.3	17006493	NA
15.4	11682106	NA
15.5	28816889	NA
15.6	11473840	NA
15.7	16345022	NA
15.8	11769594	NA
15.9	12416728	NA
16	66132513	NA
16.1	14833356	NA
16.2	11446844	NA
16.3	15651941	NA
16.4	12279469	NA
16.5	28654042	NA
16.6	12408597	NA
16.7	15343523	NA
16.8	12904789	NA
16.9	13321145	NLoss: NH3,CS 1
17	67057626	NLoss: NH3,CS 1
17.1	15710372	NLoss: NH3,CS 1
17.2	11903592	NA
17.3	15784750	NA
17.4	12751400	NA
17.5	29430247	NA
17.6	12727698	NA
