Gap	Count
0	15937492
0.1	21353685
0.2	24488556
0.3	45377456
0.4	19326193
0.5	78455710
0.6	18609925
0.7	36192943
0.8	20584333
0.9	19471119
1	132051072
1.1	18689162
1.2	17470154
1.3	26352903
1.4	16521826
1.5	45407287
1.6	15765209
1.7	22839715
1.8	15508789
1.9	17666090
2	81143800
2.1	17197709
2.2	14471821
2.3	19835526
2.4	14362794
2.5	33637739
2.6	14033360
2.7	19047040
2.8	14362336
2.9	14561182
3	64286526
3.1	14442784
3.2	13688840
3.3	18814555
3.4	13530711
3.5	31180165
3.6	13318325
3.7	18399097
3.8	14369234
3.9	14003254
4	63005235
4.1	13997962
4.2	13325382
4.3	20344932
4.4	13367964
4.5	31673299
4.6	12957042
4.7	19928511
4.8	14632469
4.9	14359383
5	61075171
5.1	14307338
5.2	13322484
5.3	21883514
5.4	13594045
5.5	30979943
5.6	12804008
5.7	22673076
5.8	13639023
5.9	13691902
6	64728274
6.1	13892498
6.2	12770632
6.3	22219571
6.4	13073070
6.5	32770148
6.6	12590966
6.7	20462321
6.8	13721859
6.9	13347776
7	62836290
7.1	14467030
7.2	12517033
7.3	18448134
7.4	12847391
7.5	35219673
7.6	12595788
7.7	17651758
7.8	13197828
7.9	13086669
8	64684509
8.1	14289889
8.2	12231546
8.3	18041936
8.4	12933002
8.5	40040469
8.6	12801901
8.7	17981837
8.8	13021582
8.9	12814579
9	69359852
9.1	14854159
9.2	12597126
9.3	17952088
9.4	12408762
9.5	38015396
9.6	12484527
9.7	17241402
9.8	12515245
9.9	12963837
10	64587226
10.1	14690920
10.2	12319112
10.3	17131441
10.4	12283104
10.5	32103326
10.6	12304333
10.7	16474610
10.8	12785096
10.9	12654179
11	58674147
11.1	14323376
11.2	11994109
11.3	16876053
11.4	12297613
11.5	29588104
11.6	12045212
11.7	16546044
11.8	12330840
11.9	13233673
12	62548867
12.1	14228636
12.2	11488858
12.3	16296129
12.4	12180449
12.5	29461563
12.6	11760606
12.7	16416748
12.8	11989949
12.9	12327187
13	59454087
13.1	14748163
13.2	11494981
13.3	17025073
13.4	12063673
13.5	30654294
13.6	11614307
13.7	17041233
13.8	12365872
13.9	12460063
14	66059326
14.1	15726476
14.2	11333760
14.3	18041721
14.4	11779378
14.5	30621823
14.6	11279353
14.7	17513689
14.8	11967358
14.9	12006652
15	62496499
15.1	13684641
15.2	11040490
15.3	17006493
15.4	11682106
15.5	28816889
15.6	11473840
15.7	16345022
15.8	11769594
15.9	12416728
16	66132513
16.1	14833356
16.2	11446844
16.3	15651941
16.4	12279469
16.5	28654042
16.6	12408597
16.7	15343523
16.8	12904789
16.9	13321145
17	67057626
17.1	15710372
17.2	11903592
17.3	15784750
17.4	12751400
17.5	29430247
17.6	12727698
17.7	15726402
17.8	12616558
17.9	13596813
18	74083096
18.1	16272403
18.2	11794418
18.3	15700464
18.4	12678211
18.5	29043747
18.6	12193161
18.7	16329425
18.8	11817680
18.9	13241586
19	61657611
19.1	15214413
19.2	11073562
19.3	15374798
19.4	12251234
19.5	28816885
19.6	11545306
19.7	15727898
19.8	11520663
19.9	12328707
20	56241310
20.1	14567448
20.2	10533922
20.3	15256669
20.4	11809638
20.5	30106200
20.6	11021012
20.7	15116766
20.8	12210379
20.9	12070477
21	54805668
21.1	14662647
21.2	10326386
21.3	16068078
21.4	11617042
21.5	31444891
21.6	10956479
21.7	14816469
21.8	11693164
21.9	12166089
22	55595786
22.1	14298627
22.2	10481806
22.3	14154742
22.4	11843254
22.5	29664456
22.6	11285334
22.7	14316365
22.8	10812800
22.9	12164677
23	52747489
23.1	14042454
23.2	10041342
23.3	13718367
23.4	11530265
23.5	27282443
23.6	10684434
23.7	14109365
23.8	10365400
23.9	11653517
24	52670062
24.1	14511405
24.2	9632728
24.3	13539802
24.4	11155192
24.5	25813583
24.6	10689464
24.7	13608392
24.8	10528431
24.9	11119101
25	49288991
25.1	14483752
25.2	10172146
25.3	13187864
25.4	11152800
25.5	25219346
25.6	10788995
25.7	13125307
25.8	10981887
25.9	11454513
26	52753310
26.1	16395520
26.2	9821635
26.3	12866378
26.4	11168784
26.5	25823965
26.6	10711325
26.7	13534208
26.8	10501856
26.9	11155557
27	54707795
27.1	14326592
27.2	10065418
27.3	13530703
