Gap	Count	Annotation
0	4122368	NA
0.1	162552	NA
0.2	69324	NA
0.3	34224	Isotope cs3
0.4	76505	NA
0.5	31873	Isotope cs2
0.6	57266	NA
0.7	67648	NA
0.8	68932	NA
0.9	77161	NA
1	302839	Isotope
1.1	92835	NA
1.2	61794	NA
1.3	69225	NA
1.4	82932	NA
1.5	78656	NA
1.6	77607	NA
1.7	59991	NA
1.8	65180	NA
1.9	70833	NA
2	439164	Isotope
2.1	118578	NA
2.2	60151	NA
2.3	57422	NA
2.4	50847	NA
2.5	51369	NA
2.6	57622	NA
2.7	69774	NA
2.8	78061	NA
2.9	93252	NA
3	470761	Isotope
3.1	99069	NA
3.2	62792	NA
3.3	58461	NA
3.4	50856	NA
3.5	56515	NA
3.6	59886	NA
3.7	76756	NA
3.8	64405	NA
3.9	79808	NA
4	228711	NA
4.1	89438	NA
4.2	64947	"NLoss: NH3,CS 4"
4.3	51327	"NLoss: NH3,CS 4"
4.4	60457	NA
4.5	62282	"NLoss: H2O,CS 4"
4.6	79012	NA
4.7	53223	NA
4.8	46426	NA
4.9	74718	NA
5	210265	NA
5.1	69007	NA
5.2	50175	NA
5.3	60418	NA
5.4	68377	NA
5.5	62799	NA
5.6	56823	NA
5.7	82038	"NLoss: NH3,CS 3"
5.8	53213	NA
5.9	76193	NA
6	280472	"NLoss: H2O,CS 3"
6.1	48891	NA
6.2	44412	NA
6.3	54683	NA
6.4	52085	NA
6.5	43043	NA
6.6	74891	NA
6.7	53245	NA
6.8	75515	NA
6.9	74885	NA
7	423118	NA
7.1	67671	NA
7.2	59145	NA
7.3	35478	NA
7.4	50331	NA
7.5	52117	NA
7.6	63184	NA
7.7	62911	NA
7.8	43873	NA
7.9	53847	NA
8	202306	NA
8.1	58668	NA
8.2	60039	NA
8.3	43613	NA
8.4	66573	NA
8.5	44734	"NLoss: NH3,CS 2"
8.6	55286	NA
8.7	44788	NA
8.8	58402	NA
8.9	75467	NA
9	343869	"NLoss: H2O,CS 2"
9.1	93090	NA
9.2	66769	NA
9.3	68636	NA
9.4	61490	NA
9.5	55951	NA
9.6	70397	NA
9.7	75030	NA
9.8	69582	NA
9.9	78819	NA
10	425537	NA
10.1	67390	NA
10.2	61227	NA
10.3	76825	NA
10.4	59317	NA
10.5	55924	NA
10.6	54343	NA
10.7	47237	NA
10.8	57609	NA
10.9	69838	NA
11	344420	NA
11.1	57384	NA
11.2	49269	NA
11.3	48069	NA
11.4	49676	NA
11.5	31864	NA
11.6	62434	NA
11.7	55442	NA
11.8	183855	NA
11.9	635683	NA
12	763098	NA
12.1	70563	NA
12.2	41990	NA
12.3	47988	NA
12.4	49939	NA
12.5	59030	NA
12.6	45855	NA
12.7	49660	NA
12.8	46400	NA
12.9	69120	NA
13	188136	NA
13.1	62452	NA
13.2	67682	NA
13.3	70084	NA
13.4	59819	NA
13.5	66219	NA
13.6	72453	NA
13.7	72854	NA
